gene	log2FC_vs_int	log2FC_vs_pancHH	log2FC_vs_st	padj_vs_int	padj_vs_pancHH	padj_vs_st	SigVsMut	upInMut	nSig
Wnt16	-2.64470408563662	-2.89832873732341	-4.22982129655908	1	1	0.00112736877917618	FALSE	TRUE	1
Wnt4	0.86880024703358	-0.071977671223144	1.50741710647422	1	1	0.00116277174027643	FALSE	TRUE	1
Lama2	0.24265079569916	-1.34822539514078	-0.503658951626392	1	0.100405509777306	1	FALSE	TRUE	0
Abl1	-0.0946347981576464	-0.0600057658419147	-0.0985453167929668	1	1	1	FALSE	TRUE	0
Abl2	-0.154006791906057	-0.178191148037752	-0.304256064889086	1	1	1	FALSE	TRUE	0
Adcyap1	-3.58887904384775	-0.0496528339936151	1.40224195099131	1	1	1	FALSE	TRUE	0
Adm	0.903548184563453	-0.190137983345761	1.35098499724447	1	1	1	FALSE	TRUE	0
Adnp	-0.019925798321029	-0.139940760317886	0.0361712055937239	1	1	1	FALSE	TRUE	0
Agt	-1.9933102262143	-2.01139284546237	0.232433953104267	1	1	1	FALSE	TRUE	0
Aimp1	-0.100120201439973	-0.109771646664027	0.0926755739747569	1	1	1	FALSE	TRUE	0
Anxa1	-1.21624055648848	-1.21426830283881	-0.702349034244732	1	1	1	FALSE	TRUE	0
Bdnf	-1.00954574701051	-0.811640166644709	0.218258698712544	1	1	1	FALSE	TRUE	0
C1qtnf1	-0.560125866825464	-0.977340487439288	-0.848430297920296	1	1	1	FALSE	TRUE	0
C1qtnf3	-1.60193201294183	-0.603688603257772	-1.5596438262964	1	1	1	FALSE	TRUE	0
Cask	-0.051417510510855	-0.0396579087360357	-0.384220425375782	1	1	1	FALSE	TRUE	0
Ccl2	-1.56561606861004	-0.88935262773931	0.713030351902334	1	1	1	FALSE	TRUE	0
Clcf1	-0.480639011373434	-0.294560291502463	-0.48932176342192	1	1	1	FALSE	TRUE	0
Clstn1	-0.105046158739366	-0.176341057550715	-0.168383292911698	1	1	1	FALSE	TRUE	0
Crhbp	0.0931915747165625	-2.38234665269342	-2.79372897999076	1	1	1	FALSE	TRUE	0
Ereg	5.1223512439055	-1.87943103689354	-0.633304407689122	1	1	1	FALSE	TRUE	0
Fabp5	0.796183685489197	-0.542603979260269	0.700401276862305	1	1	1	FALSE	TRUE	0
Fga	2.99076059556844	-2.95672825337493	2.85601011255247	1	1	1	FALSE	TRUE	0
Fgb	4.23554017365861	-1.96392605290798	0.508127183630021	1	1	1	FALSE	TRUE	0
Fgf7	0.229400417663847	-1.66360734165498	-3.25154031489825	1	1	0.493050756072084	FALSE	TRUE	0
Fgg	1.46983576749111	-4.26498213131132	1.33507078344977	1	1	1	FALSE	TRUE	0
Gpld1	-0.460374188706451	-0.741047669258803	-0.615418635204906	1	1	1	FALSE	TRUE	0
Hfe	0.0299562018411737	-0.0188357427617538	0.0490204806096428	1	1	1	FALSE	TRUE	0
Il11	-0.560126188567433	-1.41626041197634	0.958047098397603	1	1	1	FALSE	TRUE	0
Inhba	0.376746240950091	-1.5801247447093	0.0773636690874694	1	1	1	FALSE	TRUE	0
Itgb1	-0.293001793274197	-0.307557800769481	-0.27781017674711	1	1	1	FALSE	TRUE	0
Kmo	-0.799073293605748	-0.943619869525397	0.984709214241225	1	1	1	FALSE	TRUE	0
Lgr6	0.558661177588219	-0.781223778258028	1.51041304361554	1	1	0.45636795360113	FALSE	TRUE	0
Lif	-0.0987542169932309	-0.332100185182762	-1.09121114857869	1	1	1	FALSE	TRUE	0
Lrp5	-0.237470647307985	-0.219519506545249	0.213867773101204	1	1	1	FALSE	TRUE	0
Lrp8	-0.957025316085832	-1.294079754194	-0.859693211056966	1	1	1	FALSE	TRUE	0
Ndp	-1.89143265204422	-4.29380263304631	-3.88252718658078	1	1	1	FALSE	TRUE	0
Nf1	-0.249442900361422	-0.213830615653527	-0.267049432904881	1	1	1	FALSE	TRUE	0
Ntf3	-0.688579972670101	-0.907851075888926	-1.06703496926275	1	1	0.10417987034272	FALSE	TRUE	0
Nucb2	-0.153187394695657	-0.546211232051496	-0.108104279527708	1	1	1	FALSE	TRUE	0
Pla2g6	0.336607393855401	-0.0166824201543619	0.456470115662361	1	1	1	FALSE	TRUE	0
Plg	-0.226726188462516	-2.21558556642736	-0.569576644749485	1	1	1	FALSE	TRUE	0
Pmch	-1.11523357585686	-1.11898151863853	-0.150016172914829	1	1	1	FALSE	TRUE	0
Pomc	0.333292640512352	-0.144007556685048	-0.123398515179008	1	1	1	FALSE	TRUE	0
Ptk2	-0.219231715549555	-0.283850106905086	-0.0213901109451262	1	1	1	FALSE	TRUE	0
Rbp4	1.67938743781261	-0.251584195240589	1.07888037675881	1	1	1	FALSE	TRUE	0
Rspo4	4.45368425867901	-2.20471761786521	0.626089375253977	1	1	1	FALSE	TRUE	0
Sfrp1	0.499797861202256	-0.0721073354753897	0.508721267040841	0.485089189523152	1	0.276648383032211	FALSE	TRUE	0
Smad3	-0.222868688681301	-0.195673861770364	-0.278792009765091	1	1	1	FALSE	TRUE	0
Smarca4	-0.0793594812732935	-0.354395233801901	0.0558089999388056	1	1	1	FALSE	TRUE	0
Smpd3	-0.655819793628212	-0.99420116995199	-0.505932384459083	1	1	1	FALSE	TRUE	0
Sri	0.0365662136119383	-0.185590877392451	-0.0713519182946743	1	1	1	FALSE	TRUE	0
Vhl	0.0862880439303625	-0.134660273083408	-0.022533789689739	1	1	1	FALSE	TRUE	0
Wnt2	3.52630363796695	-3.05916712419412	-1.10543881070907	1	1	1	FALSE	TRUE	0
Wnt2b	-0.00908770885561624	-0.288551975513557	-0.673047992929406	1	1	1	FALSE	TRUE	0
Runx1	1.98339695187432	1.55896264426181	2.17171031198454	0.000232900997184335	0.0873494321259648	1.3816247032894e-05	FALSE	FALSE	2
Axl	0.748885502188705	0.562024371815313	0.804849321715951	0.00122053095004864	0.749418077549045	9.6480619589338e-05	FALSE	FALSE	2
Fgf10	-0.851168500317924	0.195361175969803	-2.79888606120357	0.0474554155943827	1	3.44909964309244e-52	FALSE	FALSE	2
Spp1	3.15567741911336	0.719286187644232	2.25474274287595	1.2011858218008e-12	1	2.91241667715544e-06	FALSE	FALSE	2
Edn3	-1.57843507754895	0.767655695349862	-0.618636367383141	1.1675257157209e-14	0.439554532824938	1	FALSE	FALSE	1
Aqp1	2.60886077696631	1.43461475781775	1.34243223654206	0.00623476780904592	1	1	FALSE	FALSE	1
Cxadr	-0.314506387708896	0.0948126448799345	-1.14821372008022	1	1	0.0184994573020531	FALSE	FALSE	1
Dkk2	-1.84224519937324	0.307459763169704	-0.459349931561419	3.10990424920615e-08	1	1	FALSE	FALSE	1
Gcg	6.10474617139129	1.65026583926617	4.47572615304666	0.00646113581087338	1	1	FALSE	FALSE	1
Gpc3	0.75415135646909	0.283757184229148	0.593847284402287	0.000258057750223197	1	0.117526008406184	FALSE	FALSE	1
Lepr	4.45646979273994	0.00826319279025683	1.39576111594825	8.71140875206182e-17	1	0.712630545574097	FALSE	FALSE	1
Mertk	1.4177918688077	0.775896761871854	1.08003455552636	0.00113910281220405	1	0.5229363408237	FALSE	FALSE	1
Sox9	3.02328748208879	0.0647921131618181	0.19320311314124	3.59572409107371e-21	1	1	FALSE	FALSE	1
Tnc	2.13430536851493	0.20171784338476	0.496621714830647	5.75636268304972e-20	1	1	FALSE	FALSE	1
Wnt11	1.49340009635147	0.254472073486411	0.484078127332187	2.46650323351847e-07	1	1	FALSE	FALSE	1
Cx3cl1	1.95650014077682	2.16914165711279	0.494408882658393	0.401826352392075	0.0583547059869908	1	FALSE	FALSE	0
Notch1	0.358152288086078	1.05074539243798	0.687338190355066	1	0.147794769937815	1	FALSE	FALSE	0
Cela1	2.8065558569968	3.80734658775857	3.51325205772438	1	0.31255099212526	0.748823541313973	FALSE	FALSE	0
Reck	0.45371861948774	0.612412500886713	0.381952149921484	1	0.522075890652843	1	FALSE	FALSE	0
Ager	0.925782783096346	1.20210660596034	0.510013970817082	1	1	1	FALSE	FALSE	0
Anxa5	0.344625882690984	0.0726348185110095	0.313509956939017	1	1	1	FALSE	FALSE	0
Apln	1.01517995216684	1.0146883140526	0.356390900073958	1	1	1	FALSE	FALSE	0
Atp6ap2	0.0775677052909008	0.178400534141567	0.204256114663652	1	1	1	FALSE	FALSE	0
Bmp2	1.01379322996465	0.154788685945851	0.415906973823259	1	1	1	FALSE	FALSE	0
Bmp8a	-0.618673703222008	1.78193400629005	3.26395521463381	1	1	1	FALSE	FALSE	0
C3	2.14081849372999	0.320740449710784	1.63157916860906	1	1	1	FALSE	FALSE	0
Cartpt	-1.89978901307693	0.95747269302735	-3.01378875245653	1	1	1	FALSE	FALSE	0
Col1a1	0.642544880039338	0.502657728890218	0.445132944555601	1	1	1	FALSE	FALSE	0
Cthrc1	0.960611175863351	0.373140987319241	0.293810831102778	0.252652991140368	1	1	FALSE	FALSE	0
Dag1	0.254763013855372	0.488657758064647	0.22658535150376	1	1	1	FALSE	FALSE	0
Dkk1	2.10081987235937	0.754170031081351	-0.0826916877343834	1	1	1	FALSE	FALSE	0
Dkkl1	-0.475896907898128	1.81104403274122	-0.274070215531561	1	1	1	FALSE	FALSE	0
Dlg1	0.184982093060186	0.338455690593758	0.140444466547064	1	1	1	FALSE	FALSE	0
Edn1	-0.0683687757104597	0.595973123060606	2.76822362028078	1	1	1	FALSE	FALSE	0
Edn2	-0.350222300023135	0.00622412190651194	-1.01307324313247	1	1	1	FALSE	FALSE	0
Efna5	-0.283975391630374	0.193066709499438	0.0736476594917706	1	1	1	FALSE	FALSE	0
