Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
69178	Snx5	MGI:1916428	1.83E-04	1.77E-10
231841	AA881470	MGI:1891679		2.55E-10
105675	Ppif	MGI:2145814		2.55E-10
74761	Mxra8	MGI:1922011		2.58E-10
14169	Fgf14	MGI:109189		3.23E-10
59095	Fxyd6	MGI:1890226		3.23E-10
56632	Sphk2	MGI:1861380		3.83E-10
70784	Rasl12	MGI:1918034		4.29E-10
76257	Slc38a3	MGI:1923507		4.29E-10
52670	Cpsf4l	MGI:1277182		4.82E-10
330217	Gal3st4	MGI:1916254		6.62E-10
71951	Gpc2	MGI:1919201		6.62E-10
20500	Slc13a2	MGI:1276558	1.33E-05	6.91E-10
30935	Tor3a	MGI:1353652		6.91E-10
22044	Trh	MGI:98823		6.91E-10
67922	2510049I19Rik	MGI:1915172		8.31E-10
108153	Adamts7	MGI:1347346		8.31E-10
106633	Ift140	MGI:2146906		8.31E-10
231769	Sfrs8	MGI:101760		8.31E-10
20680	Sox7	MGI:98369		8.31E-10
215929	AI317395	MGI:2143575		9.42E-10
27399	Ip6k1	MGI:1351633		9.42E-10
266781	Snx17	MGI:2387801		1.12E-09
18023	Nfe2l1	MGI:99421		1.18E-09
21907	Nr2e1	MGI:1100526		1.18E-09
27373	Csnk1e	MGI:1351660	2.11E-05	1.27E-09
56215	Acin1	MGI:1891824		1.27E-09
66412	Arrdc4	MGI:1913662		1.27E-09
17173	Ascl2	MGI:96920		1.27E-09
14958	H1f0	MGI:95893		1.27E-09
17171	Mas1	MGI:96918		1.27E-09
80978	Mrgprh	MGI:1934134		1.27E-09
15370	Nr4a1	MGI:1352454		1.27E-09
21810	Tgfbi	MGI:99959		1.27E-09
20787	Srebf1	MGI:107606		1.39E-09
20480	Clpb	MGI:1100517	3.77E-10	1.40E-09
78408	Fam131a	MGI:1925658		1.40E-09
235633	Als2cl	MGI:2447532		1.40E-09
230837	Asap3	MGI:2684986		1.55E-09
54710	Hs3st3b1	MGI:1333853		1.55E-09
27273	Pdk4	MGI:1351481		1.55E-09
214425	Cilp	MGI:2444507		1.79E-09
26927	Foxl2	MGI:1349428		1.79E-09
64379	Irx6	MGI:1927642		1.79E-09
258219	Olfr94	MGI:2177477		1.79E-09
51791	Rgs14	MGI:1859709		1.79E-09
26897	Acot1	MGI:1349396		2.42E-09
28295	D10Jhu81e	MGI:1351861		2.42E-09
107526	Gimap4	MGI:1349656		2.42E-09
213988	Tnrc6b	MGI:2443730		2.42E-09
21427	Vps72	MGI:1202305		2.42E-09
71276	Ccdc57	MGI:1918526	2.56E-04	2.99E-09
53599	Cd164	MGI:1859568		2.99E-09
17684	Cited2	MGI:1306784		3.42E-09
11852	Rhob	MGI:107949		3.42E-09
13162	Slc6a3	MGI:94862		3.42E-09
71004	4931440P22Rik	MGI:1918254		3.52E-09
244813	Bsx	MGI:2669849		3.52E-09
227674	Ddx31	MGI:2682639		3.52E-09
16832	Ldhb	MGI:96763		3.52E-09
22192	Ube2m	MGI:108278		3.76E-09
328162	Trmt61a	MGI:2443487		3.78E-09
50799	Slc25a13	MGI:1354721		3.78E-09
18753	Prkcd	MGI:97598		4.04E-09
319984	Jph4	MGI:2443113		4.09E-09
381072	Abca17	MGI:3625331		4.15E-09
27410	Abca3	MGI:1351617		4.15E-09
