Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
67991	Nacc2	MGI:1915241		9.09E-06
73046	Glrx5	MGI:1920296		9.09E-06
104886	Rab15	MGI:1916865		9.09E-06
21834	Thrb	MGI:98743		9.09E-06
13664	Eif1a	MGI:95298		9.10E-06
14936	Gys1	MGI:101805		9.10E-06
26423	Nr5a1	MGI:1346833		9.10E-06
58800	Trpm7	MGI:1929996		9.10E-06
228357	Lrp4	MGI:2442252	2.76E-04	9.18E-06
96935	Susd4	MGI:2138351		9.18E-06
78806	4930555I21Rik	MGI:1926056		9.32E-06
58202	Cobra1	MGI:1931035		9.32E-06
80283	Abtb1	MGI:1933148		9.32E-06
68222	Fam166a	MGI:3605773		9.32E-06
224630	Bnip1	MGI:109328		9.32E-06
207777	Bzrap1	MGI:2450877		9.32E-06
54219	Cd320	MGI:1860083		9.32E-06
16520	Kcnj4	MGI:104743		9.32E-06
210741	Kcnk12	MGI:2684043		9.32E-06
54387	Mcm3ap	MGI:1930089		9.32E-06
19228	Pth1r	MGI:97801		9.32E-06
50524	Sall2	MGI:1354373		9.32E-06
27414	Sergef	MGI:1351630		9.32E-06
81907	Tmem108	MGI:1932411		9.32E-06
22177	Tyrobp	MGI:1277211		9.32E-06
56462	Mtch1	MGI:1929261		9.48E-06
72654	Ccdc12	MGI:1919904		1.08E-05
66627	Ogfod2	MGI:1913877		1.14E-05
227624	B230208H17Rik	MGI:2442633	4.14E-11	1.17E-05
76645	Pkd1l2	MGI:2664668	7.96E-05	1.17E-05
67077	1700019N12Rik	MGI:1914327		1.17E-05
214663	Slc25a29	MGI:2444911		1.17E-05
226830	Smyd2	MGI:1915889		1.17E-05
68556	Uckl1	MGI:1915806		1.17E-05
18034	Nfkb2	MGI:1099800		1.21E-05
69241	Polr2d	MGI:1916491		1.22E-05
68988	Prpf31	MGI:1916238		1.22E-05
234725	Zfp612	MGI:2443465		1.22E-05
105446	Gmpr2	MGI:1917903		1.33E-05
73078	Pmpcb	MGI:1920328		1.33E-05
11774	Ap3b1	MGI:1333879		1.50E-05
104248	Cabin1	MGI:1298375		1.50E-05
67967	Pold3	MGI:1915217		1.50E-05
109801	Glo1	MGI:95742		1.50E-05
66515	Cul7	MGI:1913765		1.66E-05
14106	Foxh1	MGI:1347465		1.66E-05
104360	Isl2	MGI:109156		1.66E-05
73062	Ppp1r16a	MGI:1920312		1.66E-05
78926	Gas2l1	MGI:1926176		1.71E-05
70274	Ly6g6e	MGI:1917524		1.73E-05
216820	Dhrs7b	MGI:2384931	2.87E-05	1.83E-05
11540	Adora2a	MGI:99402		1.84E-05
228139	P2rx3	MGI:1097160		1.84E-05
226025	Trpm3	MGI:2443101		1.84E-05
320415	Gchfr	MGI:2443977		1.86E-05
68292	Stt3b	MGI:1915542		1.86E-05
235628	Tessp2	MGI:2665280		1.87E-05
58864	Tssk3	MGI:1929914		1.87E-05
103712	6330403K07Rik	MGI:1918001		2.06E-05
12724	Clcn2	MGI:105061		2.06E-05
442801	Arhgef15	MGI:3045246		2.21E-05
16402	Itga5	MGI:96604		2.21E-05
73728	Psd	MGI:1920978		2.21E-05
13838	Epha4	MGI:98277		2.26E-05
15953	Ifi47	MGI:99448		2.26E-05
21763	Tex2	MGI:102465		2.35E-05
22370	Vtn	MGI:98940		2.42E-05
108072	Grm6	MGI:1351343	3.58E-05	2.60E-05
58182	Prokr1	MGI:1929676	1.89E-04	2.60E-05
14164	Fgf1	MGI:95515	6.74E-04	2.60E-05
192198	Lrrc4	MGI:2182081		2.60E-05
17868	Mybpc3	MGI:102844		2.60E-05
60365	Rbm8a	MGI:1913129		2.60E-05
26397	Map2k3	MGI:1346868	1.21E-07	2.63E-05
69546	Mapk1ip1	MGI:1916796	6.97E-04	2.63E-05
101867	Rrp8	MGI:1914251		2.63E-05
242474	D730040F13Rik	MGI:2445107		2.63E-05
15552	Htr1d	MGI:96276		2.63E-05
50723	Icosl	MGI:1354701		2.63E-05
20465	Sim2	MGI:98307		2.63E-05
21856	Timm44	MGI:1343262		2.63E-05
12854	Cort	MGI:109538		2.75E-05
380916	Lrch1	MGI:2443390		2.75E-05
218811	Sec24c	MGI:1919746		2.75E-05
68760	Synpo2l	MGI:1916010		2.75E-05
102103	Mtus1	MGI:2142572	2.68E-09	2.82E-05
68270	Lrrc50	MGI:1915520	2.76E-04	2.82E-05
68352	Aspdh	MGI:1915602		2.82E-05
98682	Mfsd6	MGI:1922925		2.82E-05
11565	Adssl1	MGI:87947		2.82E-05
433702	Ncbp1	MGI:1891840		2.82E-05
12967	Crygd	MGI:88524		2.82E-05
116701	Fgfrl1	MGI:2150920		2.82E-05
66124	Josd2	MGI:1913374		2.82E-05
241576	Ldlrad3	MGI:2138856		2.82E-05
28000	Prpf19	MGI:106247		2.82E-05
264134	Ttc26	MGI:2444853		2.82E-05
68046	2700062C07Rik	MGI:1915296		2.82E-05
68187	Fam135a	MGI:1915437		2.82E-05
11370	Acadvl	MGI:895149		2.82E-05
16777	Lamb1-1	MGI:96743		2.82E-05
233187	Lim2	MGI:104698		2.82E-05
217366	Lrrc45	MGI:2387183		2.82E-05
23934	Ly6h	MGI:1346030		2.82E-05
74019	Traf3ip1	MGI:1921269		2.82E-05
22393	Wfs1	MGI:1328355		2.82E-05
269800	Zfp384	MGI:2443203		2.82E-05
74490	Mamstr	MGI:1921740		2.83E-05
72141	Adpgk	MGI:1919391		2.83E-05
106064	AW549877	MGI:2146232		2.83E-05
328234	Rnf182	MGI:3045355		2.83E-05
67555	4933434I20Rik	MGI:1914805		3.09E-05
21929	Tnfaip3	MGI:1196377		3.09E-05
67105	1700034H14Rik	MGI:1920595		3.42E-05
12408	Cbr1	MGI:88284		3.42E-05
224440	Setd4	MGI:2136890		3.42E-05
229474	Fhdc1	MGI:2684972		3.52E-05
11488	Adam11	MGI:1098667		3.52E-05
238323	Rps6kl1	MGI:2443413		3.52E-05
60441	Mrpl38	MGI:1926269	1.06E-06	3.58E-05
239706	BC024814	MGI:2384301	8.52E-04	3.58E-05
72350	Fam164c	MGI:1919600		3.58E-05
171212	Galnt10	MGI:1890480		3.58E-05
19988	Rpl6	MGI:108057		3.58E-05
223780	Adm2	MGI:2675256		3.61E-05
58203	Zbp1	MGI:1927449		3.61E-05
18610	Pdyn	MGI:97535		4.64E-05
226517	Smg7	MGI:2682334		4.64E-05
51789	Tnk2	MGI:1858308		4.64E-05
73647	Capn9	MGI:1920897		4.75E-05
212919	Kctd7	MGI:2442265		4.75E-05
26404	Map3k12	MGI:1346881		4.75E-05
30794	Pdlim4	MGI:1353470		4.75E-05
433256	Acsl5	MGI:1919129		4.93E-05
75627	Snapc1	MGI:1922877		4.93E-05
21349	Tal1	MGI:98480		4.93E-05
27368	Tbl2	MGI:1351652		4.93E-05
208659	Fam20a	MGI:2388266		4.94E-05
17925	Myo9b	MGI:106624		4.94E-05
65102	Nif3l1	MGI:1929485		4.96E-05
67722	4921517D21Rik	MGI:1914972		5.83E-05
71883	Coq2	MGI:1919133		5.83E-05
266690	Cyb5r4	MGI:2386848		5.83E-05
50913	Olig2	MGI:1355331		5.83E-05
18476	Pafah1b3	MGI:108414		5.83E-05
330485	Tmem145	MGI:3607779		5.83E-05
69146	Gsdmd	MGI:1916396		5.95E-05
19039	Lgals3bp	MGI:99554		6.55E-05
77701	Lcn12	MGI:1924951		6.63E-05
12333	Capn1	MGI:88263		6.65E-05
239766	Rtp1	MGI:2685450		6.65E-05
27376	Slc25a10	MGI:1353497	3.04E-06	6.70E-05
109685	Hyal3	MGI:1330288		6.98E-05
56441	Nat6	MGI:1888902		6.98E-05
19024	Ppfibp2	MGI:894649		6.98E-05
53412	Ppp1r3c	MGI:1858229		6.98E-05
11778	Ap3s2	MGI:1337060	1.05E-04	7.02E-05
66952	2310030G06Rik	MGI:1914202		7.02E-05
243822	Fam71e2	MGI:3045311		7.02E-05
242022	Frem2	MGI:2444465		7.02E-05
245867	Pcmtd2	MGI:1923927		7.02E-05
212980	Slc45a3	MGI:1922082		7.02E-05
20544	Slc9a1	MGI:102462		7.02E-05
28199	Dcaf11	MGI:90168		7.02E-05
192187	Stab1	MGI:2178742		7.05E-05
72650	2810006K23Rik	MGI:1919900		7.84E-05
436062	Fam92b	MGI:3588213		7.99E-05
13548	Dyrk1a	MGI:1330299		7.99E-05
84036	Kcnn1	MGI:1933993		8.09E-05
68094	Smarcc2	MGI:1915344	1.03E-04	8.15E-05
230582	Cyb5rl	MGI:1919657		8.15E-05
11449	Chrng	MGI:87895		8.15E-05
56709	Dnajb12	MGI:1931881		8.15E-05
56501	Gm9907	MGI:3712486		8.15E-05
56280	Mrpl37	MGI:1926268		8.15E-05
74551	Pck2	MGI:1860456		8.15E-05
75646	Rai14	MGI:1922896		8.15E-05
20621	Snn	MGI:1276549		8.15E-05
79401	Spz1	MGI:1930801		8.15E-05
360213	Trim46	MGI:2673000		8.15E-05
278507	Wfikkn2	MGI:2669209		8.39E-05
107934	Celsr3	MGI:1858236		8.49E-05
67213	Cmtm6	MGI:2447165		8.49E-05
207182	Ggt7	MGI:1913385		8.49E-05
54624	Paf1	MGI:1923988		8.49E-05
68273	Pomgnt1	MGI:1915523		8.49E-05
104001	Rtn1	MGI:1933947		8.49E-05
217151	Arl5c	MGI:3028577	2.92E-04	8.52E-05
93692	Glrx	MGI:2135625		8.56E-05
14672	Gna11	MGI:95766		8.56E-05
17927	Myod1	MGI:97275		8.56E-05
56532	Ripk3	MGI:2154952		8.56E-05
20532	Slc3a1	MGI:1195264		8.56E-05
11989	Slc7a3	MGI:1100521		8.56E-05
11936	Fxyd2	MGI:1195260		8.57E-05
67839	Gpsm1	MGI:1915089		8.57E-05
69536	Hemk1	MGI:1916786		8.57E-05
16536	Kcnq2	MGI:1309503		8.57E-05
170947	Myoz3	MGI:2179296		8.57E-05
11758	Prdx6	MGI:894320		8.57E-05
20196	S100a13	MGI:109581		8.57E-05
67673	Tceb2	MGI:1914923		8.57E-05
225049	Ttc7	MGI:1920999		8.57E-05
230917	Tmem201	MGI:1196277		8.69E-05
101437	Dhx32	MGI:2141813		8.72E-05
66366	Ergic3	MGI:1913616		8.72E-05
68918	1190005I06Rik	MGI:1916168		8.82E-05
67326	1700037H04Rik	MGI:1914576		9.14E-05
23984	Pde10a	MGI:1345143		9.25E-05
320662	Casc1	MGI:2444480		9.35E-05
28114	Nsun2	MGI:107252		9.35E-05
107951	Cdk9	MGI:1328368		1.07E-04
13033	Ctsd	MGI:88562		1.07E-04
50935	St6galnac6	MGI:1355316		1.07E-04
11490	Adam15	MGI:1333882	3.38E-06	1.10E-04
12050	Bcl2l2	MGI:108052		1.10E-04
207175	Cetn4	MGI:2677454		1.10E-04
12700	Cish	MGI:103159		1.10E-04
12739	Cldn3	MGI:1329044		1.10E-04
67116	Cuedc2	MGI:1914366		1.10E-04
102626	Mapkapk3	MGI:2143163		1.10E-04
60507	Qtrt1	MGI:1931441		1.10E-04
98396	Slc41a1	MGI:2444823		1.10E-04
110198	Akr7a5	MGI:107796		1.23E-04
235041	Kank2	MGI:2384568		1.23E-04
14050	Eya3	MGI:109339		1.23E-04
107970	Hist1h1t	MGI:1888530		1.23E-04
319155	Hist1h4c	MGI:2448421		1.23E-04
17133	Maff	MGI:96910		1.23E-04
73166	Tm7sf2	MGI:1920416		1.23E-04
105501	Abhd4	MGI:1915938		1.31E-04
117592	B3galt6	MGI:2152819		1.31E-04
99738	Kcnc4	MGI:96670		1.31E-04
50529	Mrps7	MGI:1354367		1.33E-04
83796	Smarcd2	MGI:1933621	8.52E-04	1.43E-04
106073	Mfsd5	MGI:2145901		1.43E-04
76282	Gpt	MGI:95802		1.43E-04
257947	Olfr543	MGI:3030377		1.43E-04
19385	Ranbp1	MGI:96269		1.43E-04
20375	Sfpi1	MGI:98282		1.43E-04
68165	Fdx1l	MGI:1915415		1.45E-04
12369	Casp7	MGI:109383		1.45E-04
17395	Mmp9	MGI:97011		1.45E-04
18175	Nrap	MGI:1098765		1.45E-04
214084	Slc18a2	MGI:106677		1.45E-04
103149	Upb1	MGI:2143535		1.45E-04
21414	Tcf7	MGI:98507	3.38E-06	1.49E-04
14872	Gstt2	MGI:106188		1.71E-04
20605	Sstr1	MGI:98327		1.71E-04
237611	Stac3	MGI:3606571		1.71E-04
52163	Camk1	MGI:1098535		1.81E-04
319151	Hist1h3e	MGI:2448326		1.81E-04
73016	Kremen2	MGI:1920266		1.81E-04
235416	Lman1l	MGI:2667537		1.81E-04
71207	Nudt4	MGI:1918457		1.81E-04
30044	Opn4	MGI:1353425		1.81E-04
104175	Sbk1	MGI:2135937		1.81E-04
20471	Six1	MGI:102780		1.81E-04
109108	Slc30a9	MGI:1923690		1.81E-04
21953	Tnni2	MGI:105070		1.81E-04
238799	Tnpo1	MGI:2681523		1.81E-04
72607	Usp13	MGI:1919857		1.81E-04
243373	AI854703	MGI:2141510		1.81E-04
16848	Lfng	MGI:1095413		1.81E-04
71699	Slc41a3	MGI:1918949	3.47E-04	1.82E-04
13345	Twist2	MGI:104685		1.82E-04
21648	Dynlt1	MGI:98643		1.85E-04
80888	Hspb8	MGI:2135756		1.88E-04
72296	Rusc1	MGI:1919546	1.93E-09	1.96E-04
58240	Hs1bp3	MGI:1913224		1.96E-04
17874	Myd88	MGI:108005		1.96E-04
13830	Stom	MGI:95403		1.96E-04
67125	Tspan31	MGI:1914375		1.96E-04
66400	Alkbh7	MGI:1913650		2.09E-04
270201	Klhl18	MGI:2143315		2.09E-04
56318	Acpp	MGI:1928480		2.18E-04
26901	Deb1	MGI:1349474		2.18E-04
225363	Etf1	MGI:2385071		2.18E-04
66414	Ndufa12	MGI:1913664		2.18E-04
67869	Paip2	MGI:1915119		2.18E-04
56533	Rgs17	MGI:1927469		2.18E-04
215474	Sec22c	MGI:2447871		2.18E-04
20514	Slc1a5	MGI:105305		2.18E-04
22253	Unc5c	MGI:1095412		2.18E-04
16790	Anpep	MGI:96749		2.32E-04
12354	Car7	MGI:103100		2.32E-04
235435	Lctl	MGI:2183549		2.32E-04
52443	Mrpl48	MGI:1289321		2.32E-04
69821	Mterfd2	MGI:1918355		2.32E-04
58222	Rab37	MGI:1929945		2.34E-04
12684	Cideb	MGI:1270844		2.43E-04
57260	Ltb4r2	MGI:1888501		2.43E-04
235534	Acpl2	MGI:2442444	9.45E-07	2.50E-04
74237	Tubgcp2	MGI:1921487		2.50E-04
18810	Plec1	MGI:1277961	1.46E-08	2.51E-04
214764	2700050L05Rik	MGI:1919831		2.51E-04
26556	Homer1	MGI:1347345		2.51E-04
241226	Itga8	MGI:109442		2.51E-04
67725	Nudt13	MGI:1914975		2.51E-04
226849	Ppp2r5a	MGI:2388479		2.51E-04
74168	Zdhhc16	MGI:1921418		2.51E-04
238011	Enpp7	MGI:3027917		2.51E-04
16495	Kcna7	MGI:96664		2.56E-04
69583	Tnfsf13	MGI:1916833		2.56E-04
78323	2310046O06Rik	MGI:1925573		2.57E-04
64652	Nisch	MGI:1928323		2.57E-04
230779	Serinc2	MGI:1919132		2.57E-04
226115	Opalin	MGI:2657025		2.57E-04
21924	Tnnc1	MGI:98779		2.57E-04
108961	E2f8	MGI:1922038		2.62E-04
73340	Nptxr	MGI:1920590		3.17E-04
382035	Pabpnl1	MGI:2685954		3.17E-04
67801	Pllp	MGI:1915051		3.17E-04
242773	Slc45a1	MGI:2653235		3.17E-04
20411	Sorbs1	MGI:700014		3.39E-04
78908	Igsf3	MGI:1926158	4.93E-05	3.42E-04
11497	Adam3	MGI:102518		3.42E-04
280621	BC089491	MGI:3608324		3.42E-04
78369	Icam4	MGI:1925619		3.42E-04
54135	Lsr	MGI:1927471		3.42E-04
17937	Nab2	MGI:107563		3.42E-04
14787	Rhpn1	MGI:1098783		3.42E-04
64706	Scube1	MGI:1890616		3.42E-04
216821	Tmem11	MGI:2144726		3.45E-04
216795	Wnt9a	MGI:2446084	1.16E-05	3.46E-04
60597	Mapk8ip2	MGI:1926555		3.46E-04
212647	Aldh4a1	MGI:2443883		3.51E-04
74552	Nipal3	MGI:1921802		3.51E-04
20613	Snai1	MGI:98330		3.51E-04
14172	Fgf18	MGI:1277980		3.56E-04
107321	Lpxn	MGI:2147677		3.56E-04
103468	Nup107	MGI:2143854		3.56E-04
109910	Zfp91	MGI:104854		3.56E-04
140703	Emid1	MGI:2155091		3.96E-04
79263	Trim39	MGI:1890659	1.17E-04	4.05E-04
75870	Tcam1	MGI:1923120		4.14E-04
50868	Keap1	MGI:1858732		4.24E-04
12145	Cxcr5	MGI:103567		4.37E-04
215819	Nhsl1	MGI:106390		4.37E-04
494448	Cbx6	MGI:3512628	7.24E-08	4.44E-04
239759	Liph	MGI:2388029	3.63E-07	4.44E-04
17995	Ndufv1	MGI:107851	3.63E-06	4.44E-04
234686	Fhod1	MGI:2679008	1.20E-04	4.44E-04
224647	D17Wsu92e	MGI:106281	9.73E-04	4.44E-04
71735	Lrwd1	MGI:1918985		4.44E-04
319262	Fchsd1	MGI:2441771		4.44E-04
14417	Gad2	MGI:95634		4.44E-04
210126	Lpp	MGI:2441849		4.44E-04
116748	Lsm10	MGI:2151045		4.44E-04
75454	Phpt1	MGI:1922704		4.44E-04
70481	Pnma1	MGI:2180564		4.44E-04
230979	Tnfrsf14	MGI:2675303		4.44E-04
319740	Zfyve27	MGI:1919602		4.73E-04
71776	Tha1	MGI:1919026	6.97E-04	4.81E-04
67119	2510048L02Rik	MGI:1914369		4.83E-04
56048	Lgals8	MGI:1928481		4.83E-04
74167	Nudt9	MGI:1921417		4.83E-04
81601	Kat5	MGI:1932051		4.95E-04
66526	2210012G02Rik	MGI:1913776		5.66E-04
67739	Slc48a1	MGI:1914989		5.66E-04
320705	Bend6	MGI:2444572		5.66E-04
210035	Tmem194	MGI:2446113		5.66E-04
15439	Hp	MGI:96211		5.66E-04
16438	Itpr1	MGI:96623		5.66E-04
107029	Me2	MGI:2147351		5.66E-04
18190	Nrxn2	MGI:1096362		5.66E-04
328801	Zfp414	MGI:1915641		5.66E-04
57765	Tbx21	MGI:1888984		5.74E-04
17388	Mmp15	MGI:109320		5.81E-04
229595	Adamtsl4	MGI:2389008		5.85E-04
233065	Alkbh6	MGI:2142037		5.85E-04
97863	C78339	MGI:2145496		5.85E-04
12299	Cacng1	MGI:1206582		5.85E-04
12389	Cav1	MGI:102709		5.85E-04
114893	Dcun1d1	MGI:2150386		5.85E-04
100952	Emilin1	MGI:1926189		5.85E-04
14080	Fabp1	MGI:95479		5.85E-04
75029	Purg	MGI:1922279		5.85E-04
76824	Fam54b	MGI:1924074		6.66E-04
102278	Cpne7	MGI:2142747		6.66E-04
30946	Abt1	MGI:1353636		6.71E-04
101831	C230052I12Rik	MGI:2142208		6.71E-04
319996	Casc4	MGI:2443129		6.71E-04
12892	Cpox	MGI:104841		6.71E-04
381126	Fam59a	MGI:2685790		6.71E-04
72373	Psca	MGI:1919623		6.71E-04
11833	Aqp8	MGI:1195271		6.85E-04
12955	Cryab	MGI:88516		6.85E-04
102595	Plekho2	MGI:2143132		6.85E-04
214951	Rhbdl1	MGI:2384891		6.85E-04
209039	Tenc1	MGI:2387586		6.85E-04
241303	Fam78a	MGI:2443569		6.94E-04
14149	Fdxr	MGI:104724		6.94E-04
75613	Med25	MGI:1922863		6.99E-04
104601	Mycbpap	MGI:2388726		6.99E-04
77938	Fam53b	MGI:1925188		7.88E-04
66965	2310061F22Rik	MGI:1914215		7.89E-04
17196	Mbp	MGI:96925		7.89E-04
68718	Rnf166	MGI:1915968		7.89E-04
66588	Cmpk1	MGI:1913838		7.90E-04
233335	Synm	MGI:2661187		7.90E-04
17069	Ly6e	MGI:106651		7.90E-04
70974	Pgm2l1	MGI:1918224		7.90E-04
14913	Guca1a	MGI:102770		8.62E-04
76560	Prss8	MGI:1923810		8.62E-04
14559	Gdf1	MGI:95683	2.83E-05	9.29E-04
17342	Mitf	MGI:104554		9.29E-04
18772	Pkp1	MGI:1328359		9.29E-04
241113	Prkag3	MGI:1891343		9.29E-04
74002	Psd2	MGI:1921252		9.29E-04
54170	Rragc	MGI:1858751		9.29E-04
54612	Sfrp5	MGI:1860298		9.29E-04
232337	Zfp637	MGI:2448537		9.29E-04
16525	Kcnk1	MGI:109322		9.73E-04
75600	Calml4	MGI:1922850		9.75E-04
54161	Copg	MGI:1858696		9.75E-04
228852	Ppp1r16b	MGI:2151841		9.75E-04
109342	Slc5a10	MGI:1926089	1.56E-15	
246278	Cd207	MGI:2180021	4.06E-13	
11768	Ap1m2	MGI:1336974	3.77E-10	
217480	Dgkb	MGI:2442474	3.77E-10	
67579	Cpeb4	MGI:1914829	4.43E-10	
52055	Rab11fip5	MGI:1098586	2.97E-09	
225845	Pla2g16	MGI:2179715	1.46E-08	
242509	Bnc2	MGI:2443805	2.20E-08	
74039	Nfam1	MGI:1921289	2.20E-08	
21936	Tnfrsf18	MGI:894675	7.24E-08	
59079	Erbb2ip	MGI:1890169	1.55E-07	
15466	Hrh2	MGI:108482	3.44E-07	
75826	Senp2	MGI:1923076	3.63E-07	
71743	Coasy	MGI:1918993	9.45E-07	
21428	Mlx	MGI:108398	9.45E-07	
229714	Gpr61	MGI:2441719	1.22E-06	
67983	4930408O21Rik	MGI:1915233	1.60E-06	
18618	Pemt	MGI:104535	1.60E-06	
20420	Shd	MGI:1099461	1.60E-06	
56461	Kcnip3	MGI:1929258	3.38E-06	
20811	Srms	MGI:101865	3.63E-06	
26965	Cul1	MGI:1349658	6.90E-06	
16502	Kcnc1	MGI:96667	6.90E-06	
20208	Saa1	MGI:98221	6.90E-06	
20209	Saa2	MGI:98222	6.90E-06	
20556	Slfn2	MGI:1313258	6.90E-06	
212937	Tifab	MGI:2385852	1.14E-05	
15200	Hbegf	MGI:96070	1.14E-05	
18220	Nucb1	MGI:97388	1.14E-05	
217294	BC006965	MGI:2384955	1.16E-05	
216198	Tcp11l2	MGI:2444679	1.16E-05	
30931	Tor1a	MGI:1353568	3.63E-05	
234395	Ushbp1	MGI:1922920	5.04E-05	
258913	Olfr1377	MGI:3031211	7.69E-05	
231931	Gimap6	MGI:1918876	1.17E-04	
246049	Slc36a2	MGI:1891430	1.17E-04	
14068	F7	MGI:109325	1.20E-04	
106582	Nrm	MGI:2146855	1.20E-04	
218194	Phactr1	MGI:2659021	1.20E-04	
14026	Evl	MGI:1194884	1.83E-04	
12308	Calb2	MGI:101914	1.89E-04	
13353	Dgcr6	MGI:1202877	2.76E-04	
52639	Wipi1	MGI:1261864	2.76E-04	
214240	Disp2	MGI:2388733	2.92E-04	
21337	Tacr2	MGI:98477	2.92E-04	
71702	Cdc5l	MGI:1918952	3.47E-04	
97827	Exd2	MGI:1922485	3.47E-04	
232232	Hdac11	MGI:2385252	3.47E-04	
382384	Odf3l2	MGI:2686003	4.58E-04	
239099	Homez	MGI:2678023	4.58E-04	
381677	Vgf	MGI:1343180	6.74E-04	
328258	AU042651	MGI:2145373	6.97E-04	
12345	Capzb	MGI:104652	6.97E-04	
70266	Ccbl1	MGI:1917516	6.97E-04	
118451	Mrps2	MGI:2153089	6.97E-04	
18082	Nipsnap1	MGI:1278344	6.97E-04	
19679	Pitpnm2	MGI:1336192	6.97E-04	
217169	Tns4	MGI:2144377	6.97E-04	
52808	Tspyl2	MGI:106244	6.97E-04	
72925	03-01-09	MGI:1920175	9.73E-04	
16880	Lifr	MGI:96788	9.73E-04	
57230	Sap30bp	MGI:1927479	9.73E-04	
58520	0610007P14Rik	MGI:1915571		
68294	Mfsd10	MGI:1915544		
76261	0610040J01Rik	MGI:1923511		
68618	1110012L19Rik	MGI:1915868		
68625	1110020C03Rik	MGI:1915875		
68659	1110032E23Rik	MGI:1915909		
71712	Dram1	MGI:1918962		
74131	Sash3	MGI:1921381		
67836	1500041N16Rik	MGI:1915086		
320309	1520401A03Rik	MGI:2443785		
75784	1700007G11Rik	MGI:1916571		
69318	1700007K09Rik	MGI:1916568		
75188	1700009J07Rik	MGI:1914938		
67692	1700020N01Rik	MGI:1914942		
70373	1700020O03Rik	MGI:1917623		
71868	1700023E05Rik	MGI:1919118		
69987	1700026L06Rik	MGI:1917237		
67483	1700028P14Rik	MGI:1914733		
75641	1700029I15Rik	MGI:1916742		
76606	1700034O15Rik	MGI:1923856		
73287	1700040L02Rik	MGI:1920537		
73382	1700049K14Rik	MGI:1920632		
108950	1700049L16Rik	MGI:1920633		
73390	Msl3l2	MGI:1920640		
68223	Fam24a	MGI:1915473		
78634	1700094C09Rik	MGI:1925884		
73635	1700113I22Rik	MGI:1916146		
67932	1700129C05Rik	MGI:1915182		
53906	1810007E14Rik	MGI:1858382		
108707	1810008A18Rik	MGI:1916334		
66270	Fam134b	MGI:1913520		
69073	1810019J16Rik	MGI:1916323		
69862	1810064F22Rik	MGI:1917112		
69864	1810065E05Rik	MGI:1917114		
67017	2010011I20Rik	MGI:1914267		
67038	2010109I03Rik	MGI:1914288		
67899	Cmc1	MGI:1915149		
72429	Dnajc25	MGI:1919679		
69882	2010321M09Rik	MGI:1917132		
66528	2210020M01Rik	MGI:1913778		
67484	Eepd1	MGI:1914734		
69590	Gpx8	MGI:1916840		
71901	2310028H24Rik	MGI:1919151		
70202	2310051M13Rik	MGI:1917452		
69696	2310057N15Rik	MGI:1916946		
66297	2610017I09Rik	MGI:1913547		
66455	Cnpy4	MGI:1913705		
67842	2610027L16Rik	MGI:1915092		
72400	2610028A01Rik	MGI:1919650		
66578	2610039C10Rik	MGI:1913828		
108897	Aif1l	MGI:1919598		
69953	2810025M15Rik	MGI:1917203		
72669	2810032G03Rik	MGI:1919919		
69961	2810432D09Rik	MGI:1917211		
72778	Dnajc22	MGI:1920028		
58212	2900083I11Rik	MGI:1920309		
320159	Fam179a	MGI:2443498		
320869	4732415M23Rik	MGI:2444920		
654804	4732471J01Rik	MGI:3603586		
70846	4921506M07Rik	MGI:1918096		
66716	4921510H08Rik	MGI:1913966		
245598	4921511C20Rik	MGI:2685229		
381816	4922502D21Rik	MGI:2685920		
320201	4930412M03Rik	MGI:2443570		
74895	4930455F23Rik	MGI:1922145		
71653	4930506M07Rik	MGI:1918903		
75010	4930511M11Rik	MGI:1922305		
75180	4930538K18Rik	MGI:1922430		
75161	4930544M13Rik	MGI:1922411		
68274	4930547C10Rik	MGI:1915524		
75258	Rfpl3s	MGI:1922508		
223626	4930572J05Rik	MGI:1925301		
67752	4930579J09Rik	MGI:1915002		
68175	4930591A17Rik	MGI:1915425		
240755	4933406M09Rik	MGI:3045320		
227998	4933409G03Rik	MGI:3045336		
244885	Sh2d7	MGI:2441692		
66766	4933425O20Rik	MGI:1914016		
71203	4933434M16Rik	MGI:1918453		
66783	4933437N03Rik	MGI:1914033		
71208	4933440M02Rik	MGI:1918458		
98496	5033414K04Rik	MGI:2138391		
403201	5330416C01Rik	MGI:2685378		
226162	Dpcd	MGI:1924407		
71338	Tprg	MGI:1918588		
269061	Cpsf7	MGI:1917826		
67434	Ankrd33b	MGI:1917904		
73902	Psmb11	MGI:1921152		
244234	5830411N06Rik	MGI:2443685		
68152	5830415L20Rik	MGI:1915402		
381356	5930434B04Rik	MGI:1924317		
329641	6030405A18Rik	MGI:3607715		
330837	6030452D12Rik	MGI:3045356		
76132	6230409E13Rik	MGI:1923382		
235582	Glyctk	MGI:2444085		
68176	6230427J02Rik	MGI:1915426		
442797	6330444E15Rik	MGI:3045241		
76156	Fam131b	MGI:1923406		
67788	6330577E15Rik	MGI:1915038		
231842	Amz1	MGI:2442258		
432677	7420416P09Rik	MGI:3588197		
414083	8030463A06Rik	MGI:3041164		
74521	Ppp4r4	MGI:1921771		
103406	Zfr2	MGI:2143792		
215728	9230019H11Rik	MGI:3588256		
