gene	11_16_R4_int.counts	11_16_R4_panc.counts	11_16_R4_st.counts	1_13_SSF3_MTD_1_pancHH.counts	8_5_16_int.counts	8_5_16_panc.counts	8_5_16_st.counts	R5_11_2_MT1_pancHH.counts
Xkr4	0.00286031212430647	0.0124857667166929	0.012398568754352	0.000639820859774099	0.00300090005018615	0.00779093561783238	0.00889945888590318	0.0030173186737397
RP23-317L18.4	0.0236293957441576	0.022182038378443	0.155865842696948	0	0.0225371001462436	0.0514895138517516	0.0288311927448188	0
RP23-317L18.3	0.178999024750097	0.336069807260497	0.534137797598567	0	0.142270493306708	0.130015636231394	0.109202017681316	0
RP23-115I1.6	0.0577015920338267	0.0812508459494616	0.217494401941075	0	0.0825514058216393	0	0	0.0304344567274087
RP23-115I1.2	0.0719866348184174	0.0675772801626513	0.135669480994595	0.161026309647698	0	0.3921552703628	0	0.151876164598615
RP23-122M2.3	0	0.026955146248578	0.0270578417248814	0	0.00547732196740962	0.0125137947420643	0.0420420704553165	0
Sox17	0.020734123371333	0.116784650444563	0.00976913201930563	0	0.0197756650201197	0.0903611708137855	0	0.0109361242607597
RP23-285G23.3	0.156390588429886	0.179436019221027	0.0982470797912318	0.0971746714666757	0.0497204187464362	0.151458716110894	0.0636061856640652	0.109983391639132
Gm6085	0.498614029460447	0.468072719982966	0.469856013995916	0.506975277141323	0.691730953978102	0.197545881598688	0.276536082896185	0.382533566381807
RP23-34E15.2	0.110518899928691	0.311248053861174	0	0.0618047039104235	0	0.0602064108025876	0	0
RP23-34E15.4	3.42913862021253	3.10203760297189	3.11385594838952	0.627595518640958	2.91382758651087	1.90202649857613	1.74968626082648	1.05232548504658
Mrpl15	5.63176377878068	5.25687938199768	5.271900830837	6.91682069726627	6.12646962327028	5.52233971645501	5.26386312437391	6.45091979350634
Lypla1	1.7211614166557	1.37260631830544	1.69603550258678	1.48135325477191	1.95115740654618	1.46626220370868	1.84805234274843	1.69459582502885
Tcea1	2.26525843996501	1.78040304027477	2.04070991365108	2.20479938066381	2.45991590905135	2.07178676005986	2.17021545172458	2.12681555101651
Gm6104	2.65465663283865	1.55753282766908	1.77192906033223	5.19590708456235	3.37592282855094	2.65128230959568	2.42929139665812	2.80037446352927
RP24-426M1.4	0	0.0563144001355428	0.169586851243243	0	0.0572158092001032	0.261436846908534	0	0.379690411496537
Rgs20	0.00455770373331547	0.0101128971489572	0.00780878917297725	0	0.0106699550226004	0.00632000790397335	0.0156720241915629	0.000874160453078039
Atp6v1h	0.821989619509412	0.847994023508749	0.857329167228114	0.72775237608179	0.882849380082145	0.925376393295925	0.92829328750882	0.738030394172663
Oprk1	0.674734619873165	1.64897744772776	0.859598452324937	0.00421594498794567	1.13249406661852	0.62425169559026	1.07623178433322	0
Npbwr1	0.126283787713154	0.270968232567662	0.221000475340017	0	0.0860329832187951	0.0982778718736359	0.198108022322973	0
Rb1cc1	1.51225986190768	1.45867013872541	1.48827500700004	1.11736844473674	1.33688180435431	1.41491175673192	1.45653118278857	1.19944357824036
4732440D04Rik	0.429439340749265	1.03663323632591	0.543415393978257	0.329351766554164	0.386182990786766	0.534724341382849	0.464093483656141	0.401239084196174
Fam150a	0.00187502146276113	0	0.0123681453191789	0.010485550110109	0.00178834647064778	0	0.0160145329339761	0.0257132723129325
RP23-76C20.3	0.313108011945311	0.195952928371324	0	0.350194364633512	0.39817898565589	0.341138205409646	0.509381198463318	0.660589900879554
RP23-76C20.4	0.303165086502269	0.37588084275678	0.312630687026888	0.332676122929914	0.223682800162932	0.236822571140837	0.216359018623991	0.343942564146635
St18	0.00338542852040942	0.00250899700637873	0.00302226713640828	0.000199285187705033	0.00220927011861499	0.00349436874763018	0.00456551039512798	0.000939805117442439
Pcmtd1	0.668957822911504	0.565996019778499	0.665930895889881	0.540703604741194	0.587801456749041	0.461630103227873	0.627273468330076	0.583780507074998
WI1-817D1.2	0.181888256587384	0.232837040540548	0.155816078867644	0.0369876673514081	0.141938399282103	0.0360311522309998	0.0201753913967964	0.0697717667016233
Gm9826	0.102600365496203	0.288947538445851	0.145024194822804	0.34425886692786	0.244643868305526	0.335356201928127	0.125186904707087	0.378812852764264
Gm26901	0.016487870055185	0.0193474354096277	0.0284843482475291	0.0107571276537652	0.00655237482327905	0.00898195221308438	0.0184410645792438	0.0115952749316979
Sntg1	0.000354792329132772	0.00199836266989084	0.00213970790664565	0.000158726406910592	0.000406069981950918	0.00162352765854274	0.00190474521650909	0.000299413902670214
Gm15452	1.39304680349448	0	0.787620940920503	1.86965694256218	2.39157294522607	0.303551150699239	1.35977073062593	1.76341571866592
RP23-397E23.1	1.01402493208684	0.317304488073363	1.27405350172589	0.756088002152896	2.57906794770008	1.10480291904241	0.412417772359895	2.13937236934597
Gm24276	1.22179150838598	0.573476918811491	0	1.36650767361579	0.58265640561573	0.665584633184569	1.49075781935595	0
Rrs1	31.1631443304057	22.2613822401953	30.5306040157108	28.3418497983366	28.0782321113647	25.7305199621044	28.2595830103997	26.9029297916256
Adhfe1	0.0488343252244115	0.0362924583302856	0.0594396083654699	0.0204819561163802	0.0388140859967086	0.0598568548651547	0.0347577758951441	0.00858581831955499
2610203C22Rik	0.000946613553687447	0.00177726239001613	0.00356806704064371	0.00317620807523394	0	0.00412542683804319	0.00346500580675686	0.00199714900208576
Gm6161	0.0604792345204687	0.0567747358314736	0.170973119782017	0	0.115367026725004	0.0658934832126413	0.147586378119708	0
